DISTRICT,YEAR,MONTH,SEASON,RAINFALL(in mm),TEMPERATURE(in Celsius),CROPS,SUCCESSFUL CROPS,MARKET RATE(per kg)(in Rupees)
Dindigul,2023,July,Kharif,6.12,34.26,Chillies,Turmeric,165
Dindigul,2023,August,Kharif,3.4,33.28,Garlic,Turmeric,185
Dindigul,2023,September,Kharif,7.12,32.87,Pepper,Ragi,80
Dindigul,2023,October,Kharif,8.23,30.29,Ragi,Ragi,80
Dindigul,2023,November,Rabi,14.5,29.8,Bajra,Ragi,75
Dindigul,2023,December,Rabi,33.4,27.26,Thinai,Ragi,70
Erode,2007,January,Rabi,270.7,31.3,Paddy,Paddy,80
Erode,2007,February,Rabi,16.7,33.5,Sugarcane,Paddy,85
Erode,2007,March,Rabi,12.3,36.7,Banana,Sugarcane,35
Erode,2007,April,Kharif,33.6,38.5,Turmeric,Sugarcane,35
Erode,2007,May,Kharif,234.5,38,Mango,Sugarcane,35
Erode,2007,June,Kharif,15.6,35.8,Groundnut,Sugarcane,40
Erode,2007,July,Kharif,45.5,34.2,Tomato,Sugarcane,40
Erode,2007,August,Kharif,25.7,34.3,Cotton,Sugarcane,35
Erode,2007,September,Kharif,205,34,Eggplant ,Sugarcane,35
Erode,2007,October,Kharif,141.5,32.7,Jack fruit,Sugarcane,40
Erode,2007,November,Rabi,89.8,30.9,Coconut ,Coconut,35
Erode,2007,December,Rabi,8.8,28.7,Tapiaco,Coconut,40
Erode,2008,January,Rabi,52.9,35.4,Paddy,Coconut,40
Erode,2008,February,Rabi,0,31.3,Sugarcane,Sugarcane,35
Erode,2008,March,Rabi,0.2,34.5,Banana,Sugarcane,35
Erode,2008,April,Kharif,6,35.4,Turmeric,Sugarcane,35
Erode,2008,May,Kharif,128.4,37.6,Mango,Sugarcane,40
Erode,2008,June,Kharif,96.2,36,Groundnut,Sugarcane,40
Erode,2008,July,Kharif,105.9,34.4,Tomato,Sugarcane,40
Erode,2008,August,Kharif,145.5,33.5,Cotton,Sugarcane,35
Erode,2008,September,Kharif,69.1,29.8,Eggplant ,Banana,65
Erode,2008,October,Kharif,155,28.7,Jack fruit,Banana,65
Erode,2008,November,Rabi,374.7,27.7,Coconut ,Banana,55
Erode,2008,December,Rabi,270.7,29.8,Tapiaco,Banana,60
Erode,2009,January,Rabi,1.97,31.2,Paddy,Paddy,80
Erode,2009,February,Rabi,10.7,33.2,Sugarcane,Paddy,75
Erode,2009,March,Rabi,1.2,32.5,Banana,Paddy,80
Erode,2009,April,Kharif,2.2,34.4,Turmeric,Mango,110
Erode,2009,May,Kharif,0,35.4,Mango,Mango,120
Erode,2009,June,Kharif,24.1,30.4,Groundnut,Turmeric,145
Erode,2009,July,Kharif,12.3,30,Tomato,Turmeric,175
Erode,2009,August,Kharif,23,29.7,Cotton,Turmeric,190
Erode,2009,September,Kharif,12.5,29.8,Eggplant ,Turmeric,195
Erode,2009,October,Kharif,32,27.8,Jack fruit,Turmeric,175
Erode,2009,November,Rabi,23,28.7,Coconut ,Turmeric,200
Erode,2009,December,Rabi,13.4,26.8,Tapiaco,Turmeric,195
Erode,2010,January,Rabi,13.5,31.2,Paddy,Coconut,35
Erode,2010,February,Rabi,0.2,32.4,Sugarcane,Coconut,35
Erode,2010,March,Rabi,42.2,33.6,Banana,Sugarcane,35
Erode,2010,April,Kharif,77.9,36.5,Turmeric,Sugarcane,35
Erode,2010,May,Kharif,81.8,37.6,Mango,Sugarcane,40
Erode,2010,June,Kharif,12.9,31.2,Groundnut,Groundnut,125
Erode,2010,July,Kharif,13.4,30.6,Tomato,Groundnut,135
Erode,2010,August,Kharif,90.9,29.8,Cotton,Groundnut,145
Erode,2010,September,Kharif,40.9,28.7,Eggplant ,Groundnut,150
Erode,2010,October,Kharif,86.8,27.7,Jack fruit,Groundnut,120
Erode,2010,November,Rabi,215.6,29.8,Coconut ,Groundnut,130
Erode,2010,December,Rabi,130.5,28,Tapiaco,Groundnut,110
Erode,2011,January,Rabi,52.9,32.6,Paddy,Banana,55
Erode,2011,February,Rabi,0,31.3,Sugarcane,Banana,65
Erode,2011,March,Rabi,0.2,33.4,Banana,Coconut,40
Erode,2011,April,Kharif,6,34.5,Turmeric,Coconut,40
Erode,2011,May,Kharif,128.4,35.5,Mango,Coconut,35
Erode,2011,June,Kharif,96.2,27.7,Groundnut,Jack Fruit,120
Erode,2011,July,Kharif,105.9,28.7,Tomato,Turmeric,190
Erode,2011,August,Kharif,145.5,26.8,Cotton,Turmeric,145
Erode,2011,September,Kharif,69.1,29.8,Eggplant ,Turmeric,155
Erode,2011,October,Kharif,155,28.4,Jack fruit,Turmeric,165
Erode,2011,November,Rabi,374.7,28.6,Coconut ,Turmeric,175
Erode,2011,December,Rabi,270.7,29.7,Tapiaco,Groundnut,120
Erode,2012,January,Rabi,63.6,33.8,Paddy,Groundnut,125
Erode,2012,February,Rabi,2.2,32.6,Sugarcane,Groundnut,130
Erode,2012,March,Rabi,14.5,33.5,Banana,Sugarcane,35
Erode,2012,April,Kharif,94.4,34.6,Turmeric,Sugarcane,35
Erode,2012,May,Kharif,103.4,36.5,Mango,Sugarcane,40
Erode,2012,June,Kharif,87.7,30.9,Groundnut,Banana,55
Erode,2012,July,Kharif,118.4,29.8,Tomato,Banana,65
Erode,2012,August,Kharif,175.6,27.9,Cotton,Banana,65
Erode,2012,September,Kharif,98.5,29.9,Eggplant ,Cotton,65
Erode,2012,October,Kharif,228.7,30.9,Jack fruit,Cotton,60
Erode,2012,November,Rabi,197.8,29.1,Coconut ,Cotton,75
Erode,2012,December,Rabi,118.8,27.8,Tapiaco,Cotton,70
Erode,2013,January,Rabi,52.9,32.5,Paddy,Paddy,80
Erode,2013,February,Rabi,0,33.6,Sugarcane,Paddy,85
Erode,2013,March,Rabi,0.2,35.4,Banana,Coconut,40
Erode,2013,April,Kharif,6,34.4,Turmeric,Coconut,40
Erode,2013,May,Kharif,128.4,36.5,Mango,Coconut,35
Erode,2013,June,Kharif,96.2,30.9,Groundnut,Turmeric,125
Erode,2013,July,Kharif,105.9,30.1,Tomato,Turmeric,165
Erode,2013,August,Kharif,145.5,29.1,Cotton,Turmeric,155
Erode,2013,September,Kharif,69.1,29.6,Eggplant ,Turmeric,170
Erode,2013,October,Kharif,155,28.7,Jack fruit,Cotton,65
Erode,2013,November,Rabi,374.7,27.9,Coconut ,Cotton,70
Erode,2013,December,Rabi,270.7,29.1,Tapiaco,Cotton,75
Erode,2014,January,Rabi,1.3,33.5,Paddy,Sugarcane,35
Erode,2014,February,Rabi,5.2,34.4,Sugarcane,Sugarcane,40
Erode,2014,March,Rabi,6.9,35.4,Banana,Sugarcane,40
Erode,2014,April,Kharif,41.5,36.5,Turmeric,Sugarcane,35
Erode,2014,May,Kharif,127.1,36.8,Mango,Sugarcane,35
Erode,2014,June,Kharif,11.4,28.9,Groundnut,Tomato,75
Erode,2014,July,Kharif,55.7,28.5,Tomato,Tomato,70
Erode,2014,August,Kharif,49,29.8,Cotton,Tomato,70
Erode,2014,September,Kharif,157.7,30.2,Eggplant ,Turmeric,145
Erode,2014,October,Kharif,160.3,30.4,Jack fruit,Turmeric,155
Erode,2014,November,Rabi,111,29.1,Coconut ,Turmeric,165
Erode,2014,December,Rabi,7.1,29.2,Tapiaco,Turmeric,160
Erode,2015,January,Rabi,37.8,34.5,Paddy,Paddy,75
Erode,2015,February,Rabi,0,34.3,Sugarcane,Paddy,80
Erode,2015,March,Rabi,3.5,33.2,Banana,Banana,65
Erode,2015,April,Kharif,1.3,34.5,Turmeric,Mango,125
Erode,2015,May,Kharif,32.5,35.4,Mango,Mango,120
Erode,2015,June,Kharif,51.8,30.1,Groundnut,Tomato,65
Erode,2015,July,Kharif,100.9,29.8,Tomato,Tomato,70
Erode,2015,August,Kharif,96.1,28.9,Cotton,Tomato,75
Erode,2015,September,Kharif,59.8,29.8,Eggplant ,Cotton,60
Erode,2015,October,Kharif,141.8,27.6,Jack fruit,Cotton,65
Erode,2015,November,Rabi,384.1,27.8,Coconut ,Cotton,70
Erode,2015,December,Rabi,212.2,29.9,Tapiaco,Cotton,75
Erode,2016,January,Rabi,1.97,33.3,Paddy,Groundnut,110
Erode,2016,February,Rabi,10.7,32.2,Sugarcane,Groundnut,115
Erode,2016,March,Rabi,1.2,33.5,Banana,Sugarcane,35
Erode,2016,April,Kharif,2.2,34.6,Turmeric,Sugarcane,35
Erode,2016,May,Kharif,0,34.7,Mango,Sugarcane,40
Erode,2016,June,Kharif,24.1,29.9,Groundnut,Turmeric,135
Erode,2016,July,Kharif,12.3,28.7,Tomato,Turmeric,145
Erode,2016,August,Kharif,23,29.7,Cotton,Turmeric,150
Erode,2016,September,Kharif,12.5,29.1,Eggplant ,Turmeric,170
Erode,2016,October,Kharif,32,28.6,Jack fruit,Turmeric,175
Erode,2016,November,Rabi,23,27.9,Coconut ,Coconut,35
Erode,2016,December,Rabi,13.4,26.8,Tapiaco,Coconut,40
Erode,2017,January,Rabi,37.8,32.4,Paddy,Paddy,80
Erode,2017,February,Rabi,0,33.5,Sugarcane,Paddy,85
Erode,2017,March,Rabi,3.5,34.3,Banana,Mango,80
Erode,2017,April,Kharif,1.3,35.4,Turmeric,Mango,90
Erode,2017,May,Kharif,32.5,35.7,Mango,Mango,100
Erode,2017,June,Kharif,51.8,30.1,Groundnut,Tomato,55
Erode,2017,July,Kharif,100.9,29.1,Tomato,Tomato,65
Erode,2017,August,Kharif,96.1,29.8,Cotton,Tomato,75
Erode,2017,September,Kharif,59.8,29.6,Eggplant ,Turmeric,110
Erode,2017,October,Kharif,141.8,28.5,Jack fruit,Turmeric,120
Erode,2017,November,Rabi,384.1,27.6,Coconut ,Turmeric,130
Erode,2017,December,Rabi,212.2,27.9,Tapiaco,Turmeric,145
Erode,2018,January,Rabi,0,31.2,Paddy,Banana,65
Erode,2018,February,Rabi,15.1,31.6,Sugarcane,Banana,55
Erode,2018,March,Rabi,10.3,32.5,Banana,Mango,100
Erode,2018,April,Kharif,22.9,32.8,Turmeric,Mango,90
Erode,2018,May,Kharif,213.6,33.7,Mango,Mango,110
Erode,2018,June,Kharif,14.9,30.2,Groundnut,Cotton,60
Erode,2018,July,Kharif,40.4,29.1,Tomato,Cotton,65
Erode,2018,August,Kharif,24.6,29.7,Cotton,Cotton,70
Erode,2018,September,Kharif,203,28.1,Eggplant ,Cotton,70
Erode,2018,October,Kharif,131.3,28.4,Jack fruit,Cotton,65
Erode,2018,November,Rabi,88.8,27.8,Coconut ,Turmeric,100
Erode,2018,December,Rabi,7.8,27.9,Tapiaco,Turmeric,130
Erode,2019,January,Rabi,1.8,31.1,Paddy,Paddy,75
Erode,2019,February,Rabi,0,31.2,Sugarcane,Paddy,70
Erode,2019,March,Rabi,0.3,33.2,Banana,Sugarcane,35
Erode,2019,April,Kharif,20.1,33.4,Turmeric,Sugarcane,40
Erode,2019,May,Kharif,56.1,35.5,Mango,Sugarcane,40
Erode,2019,June,Kharif,41.4,30.1,Groundnut,Tomato,70
Erode,2019,July,Kharif,19.3,29.1,Tomato,Tomato,75
Erode,2019,August,Kharif,62.7,29.5,Cotton,Tomato,80
Erode,2019,September,Kharif,128.8,28.9,Eggplant ,Groundnut,110
Erode,2019,October,Kharif,226.2,28.7,Jack fruit,Groundnut,120
Erode,2019,November,Rabi,70.7,27.8,Coconut ,Groundnut,125
Erode,2019,December,Rabi,37.1,27.6,Tapiaco,Groundnut,130
Erode,2020,January,Rabi,0,32.3,Paddy,Sugarcane,40
Erode,2020,February,Rabi,0,32.8,Sugarcane,Sugarcane,40
Erode,2020,March,Rabi,7.1,33.5,Banana,Sugarcane,35
Erode,2020,April,Kharif,10.8,34.5,Turmeric,Mango,85
Erode,2020,May,Kharif,58.8,35.7,Mango,Mango,90
Erode,2020,June,Kharif,54.6,30.1,Groundnut,Coconut,45
Erode,2020,July,Kharif,134.5,29.1,Tomato,Coconut,40
Erode,2020,August,Kharif,13.4,28.2,Cotton,Turmeric,100
Erode,2020,September,Kharif,134.7,29.4,Eggplant ,Turmeric,120
Erode,2020,October,Kharif,87,27.6,Jack fruit,Turmeric,140
Erode,2020,November,Rabi,89.9,27.6,Coconut ,Turmeric,160
Erode,2020,December,Rabi,38.9,26.9,Tapiaco,Turmeric,170
Erode,2021,January,Rabi,58.7,31,Paddy,Paddy,75
Erode,2021,February,Rabi,19.8,31.4,Sugarcane,Paddy,80
Erode,2021,March,Rabi,0.1,32.5,Banana,Coconut,40
Erode,2021,April,Kharif,100.1,32.9,Turmeric,Coconut,35
Erode,2021,May,Kharif,51.6,33.6,Mango,Mango,135
Erode,2021,June,Kharif,35.9,29,Groundnut,Jack Fruit,120
Erode,2021,July,Kharif,64.1,29.8,Tomato,Groundnut,100
Erode,2021,August,Kharif,84.5,28.7,Cotton,Groundnut,115
Erode,2021,September,Kharif,73.4,28.9,Eggplant ,Groundnut,125
Erode,2021,October,Kharif,282.9,27.8,Jack fruit,Turmeric,90
Erode,2021,November,Rabi,186.4,27.7,Coconut ,Turmeric,125
Erode,2021,December,Rabi,52.6,29.8,Tapiaco,Turmeric,135
Erode,2022,January,Rabi,11.6,31.2,Paddy,Banana,45
Erode,2022,February,Rabi,0,31.7,Sugarcane,Banana,50
Erode,2022,March,Rabi,5,32.4,Banana,Mango,70
Erode,2022,April,Kharif,74.9,33.7,Turmeric,Mango,80
Erode,2022,May,Kharif,159.1,34.9,Mango,Mango,110
Erode,2022,June,Kharif,76.5,29.9,Groundnut,Tomato,75
Erode,2022,July,Kharif,85.7,30.1,Tomato,Tomato,85
Erode,2022,August,Kharif,199.3,29.9,Cotton,Tomato,95
Erode,2022,September,Kharif,81.6,28.6,Eggplant ,Turmeric,110
Erode,2022,October,Kharif,301,26.9,Jack fruit,Turmeric,120
Erode,2022,November,Rabi,142.5,27.8,Coconut ,Turmeric,130
Erode,2022,December,Rabi,41.9,26.9,Tapiaco,Turmeric,145
Erode,2023,January,Rabi,2.3,32.3,Paddy,Paddy,65
Erode,2023,February,Rabi,1.2,33.5,Sugarcane,Paddy,75
Erode,2023,March,Rabi,0,34.5,Banana,Banana,45
Erode,2023,April,Kharif,0,35.6,Turmeric,Mango,85
Erode,2023,May,Kharif,0,36.5,Mango,Mango,100
Erode,2023,June,Kharif,3.4,30.1,Groundnut,Tomato,85
Erode,2023,July,Kharif,3.45,32.4,Tomato,Tomato,95
Erode,2023,August,Kharif,2.56,33.3,Cotton,Tomato,110
Erode,2023,September,Kharif,4.56,29.3,Eggplant ,Turmeric,135
Erode,2023,October,Kharif,7.8,30.2,Jack fruit,Turmeric,165
Erode,2023,November,Rabi,11.6,31.2,Coconut ,Turmeric,175
Erode,2023,December,Rabi,23.4,29.9,Tapiaco,Turmeric,170
Kallakurchi,2007,January,Rabi,44.5,25.5,Paddy,Paddy,70
Kallakurchi,2007,February,Rabi,1.2,27.3,Maize,Paddy,75
Kallakurchi,2007,March,Rabi,9.5,29.4,Sugarcane,Paddy,80
Kallakurchi,2007,April,Kharif,45.5,31.7,Blackgram,Sugarcane,30
Kallakurchi,2007,May,Kharif,66.5,31.9,Groundnut,Sugarcane,35
Kallakurchi,2007,June,Kharif,76.6,29.8,Mango,Black gram,85
Kallakurchi,2007,July,Kharif,100.9,28.7,Sesame,Black gram,80
Kallakurchi,2007,August,Kharif,84.3,28.5,Chili,Black gram,90
Kallakurchi,2007,September,Kharif,77.6,27.6,Banana,Black gram,95
Kallakurchi,2007,October,Kharif,121.3,26.8,Tomato,Black gram,90
Kallakurchi,2007,November,Rabi,203.4,25.7,Tapiaco,Black gram,100
Kallakurchi,2007,December,Rabi,88.4,26.7,Turmeric,Black gram,95
Kallakurchi,2008,January,Rabi,1.3,23.8,Paddy,Paddy,75
Kallakurchi,2008,February,Rabi,5.2,25.3,Maize,Paddy,80
Kallakurchi,2008,March,Rabi,6.9,27.6,Sugarcane,Mango,90
Kallakurchi,2008,April,Kharif,41.5,29.2,Blackgram,Mango,100
Kallakurchi,2008,May,Kharif,127.1,32.2,Groundnut,Mango,85
Kallakurchi,2008,June,Kharif,11.4,28.9,Mango,Groundnut,100
Kallakurchi,2008,July,Kharif,55.7,28.2,Sesame,Groundnut,115
Kallakurchi,2008,August,Kharif,49,26.5,Chili,Groundnut,125
Kallakurchi,2008,September,Kharif,157.7,27.4,Banana,Groundnut,135
Kallakurchi,2008,October,Kharif,160.3,25.7,Tomato,Groundnut,130
Kallakurchi,2008,November,Rabi,111,25.3,Tapiaco,Groundnut,140
Kallakurchi,2008,December,Rabi,7.1,26.3,Turmeric,Groundnut,145
Kallakurchi,2009,January,Rabi,1.97,26.2,Paddy,Maize,30
Kallakurchi,2009,February,Rabi,10.7,24.7,Maize,Maize,35
Kallakurchi,2009,March,Rabi,1.2,26.8,Sugarcane,Maize,35
Kallakurchi,2009,April,Kharif,2.2,28.4,Blackgram,Mango,90
Kallakurchi,2009,May,Kharif,0,32.2,Groundnut,Mango,95
Kallakurchi,2009,June,Kharif,24.1,29.9,Mango,Mango,85
Kallakurchi,2009,July,Kharif,12.3,27.7,Sesame,Tomato,65
Kallakurchi,2009,August,Kharif,23,25.2,Chili,Tomato,60
Kallakurchi,2009,September,Kharif,12.5,25.9,Banana,Tomato,55
Kallakurchi,2009,October,Kharif,32,23.3,Tomato,Turmeric,120
Kallakurchi,2009,November,Rabi,23,24.6,Tapiaco,Turmeric,130
Kallakurchi,2009,December,Rabi,13.4,26.6,Turmeric,Turmeric,145
Kallakurchi,2010,January,Rabi,63.6,22.5,Paddy,Paddy,85
Kallakurchi,2010,February,Rabi,2.2,24.7,Maize,Paddy,75
Kallakurchi,2010,March,Rabi,14.5,21.9,Sugarcane,Sugarcane,35
Kallakurchi,2010,April,Kharif,94.4,29.7,Blackgram,Sugarcane,40
Kallakurchi,2010,May,Kharif,103.4,29.5,Groundnut,Sugarcane,40
Kallakurchi,2010,June,Kharif,87.7,28.5,Mango,Banana,60
Kallakurchi,2010,July,Kharif,118.4,26.5,Sesame,Banana,55
Kallakurchi,2010,August,Kharif,175.6,27.5,Chili,Maize,30
Kallakurchi,2010,September,Kharif,98.5,25.8,Banana,Maize,35
Kallakurchi,2010,October,Kharif,228.7,28.7,Tomato,Maize,30
Kallakurchi,2010,November,Rabi,197.8,25.9,Tapiaco,Turmeric,125
Kallakurchi,2010,December,Rabi,118.8,26.2,Turmeric,Turmeric,130
Kallakurchi,2011,January,Rabi,52.9,23.6,Paddy,Maize,30
Kallakurchi,2011,February,Rabi,0,26.8,Maize,Maize,35
Kallakurchi,2011,March,Rabi,0.2,27.2,Sugarcane,Maize,35
Kallakurchi,2011,April,Kharif,6,24.9,Blackgram,Mango,90
Kallakurchi,2011,May,Kharif,128.4,31.2,Groundnut,Mango,125
Kallakurchi,2011,June,Kharif,96.2,29.4,Mango,Black gram,90
Kallakurchi,2011,July,Kharif,105.9,27.9,Sesame,Black gram,80
Kallakurchi,2011,August,Kharif,145.5,23.9,Chili,Black gram,85
Kallakurchi,2011,September,Kharif,69.1,26.2,Banana,Black gram,95
Kallakurchi,2011,October,Kharif,155,28.9,Tomato,Banana,55
Kallakurchi,2011,November,Rabi,374.7,25.3,Tapiaco,Banana,60
Kallakurchi,2011,December,Rabi,270.7,24.7,Turmeric,Banana,65
Kallakurchi,2012,January,Rabi,1.97,28.5,Paddy,Paddy,75
Kallakurchi,2012,February,Rabi,10.7,26.3,Maize,Paddy,80
Kallakurchi,2012,March,Rabi,1.2,29.4,Sugarcane,Sugarcane,40
Kallakurchi,2012,April,Kharif,2.2,31.4,Blackgram,Sugarcane,35
Kallakurchi,2012,May,Kharif,0,32.4,Groundnut,Sugarcane,35
Kallakurchi,2012,June,Kharif,24.1,29.3,Mango,Tomato,70
Kallakurchi,2012,July,Kharif,12.3,26.4,Sesame,Tomato,65
Kallakurchi,2012,August,Kharif,23,25.9,Chili,Groundnut,125
Kallakurchi,2012,September,Kharif,12.5,21.9,Banana,Groundnut,120
Kallakurchi,2012,October,Kharif,32,24.8,Tomato,Groundnut,135
Kallakurchi,2012,November,Rabi,23,27.5,Tapiaco,Groundnut,130
Kallakurchi,2012,December,Rabi,13.4,22.8,Turmeric,Groundnut,110
Kallakurchi,2013,January,Rabi,13.5,24.3,Paddy,Banana,65
Kallakurchi,2013,February,Rabi,0.2,22.8,Maize,Banana,55
Kallakurchi,2013,March,Rabi,42.2,29.9,Sugarcane,Sugarcane,35
Kallakurchi,2013,April,Kharif,77.9,31.3,Blackgram,Sugarcane,40
Kallakurchi,2013,May,Kharif,81.8,31.8,Groundnut,Mango,100
Kallakurchi,2013,June,Kharif,12.9,27.8,Mango,Coconut,40
Kallakurchi,2013,July,Kharif,13.4,24.7,Sesame,Coconut,40
Kallakurchi,2013,August,Kharif,90.9,23.9,Chili,Turmeric,100
Kallakurchi,2013,September,Kharif,40.9,26.8,Banana,Turmeric,120
Kallakurchi,2013,October,Kharif,86.8,24.9,Tomato,Turmeric,125
Kallakurchi,2013,November,Rabi,215.6,29.2,Tapiaco,Turmeric,130
Kallakurchi,2013,December,Rabi,130.5,26.3,Turmeric,Turmeric,145
Kallakurchi,2014,January,Rabi,52.9,25.5,Paddy,Maize,35
Kallakurchi,2014,February,Rabi,0,23.8,Maize,Maize,35
Kallakurchi,2014,March,Rabi,0.2,26.9,Sugarcane,Maize,30
Kallakurchi,2014,April,Kharif,6,31.2,Blackgram,Sugarcane,35
Kallakurchi,2014,May,Kharif,128.4,31.7,Groundnut,Sugarcane,40
Kallakurchi,2014,June,Kharif,96.2,24.7,Mango,Groundnut,120
Kallakurchi,2014,July,Kharif,105.9,26.3,Sesame,Groundnut,125
Kallakurchi,2014,August,Kharif,145.5,25.7,Chili,Groundnut,135
Kallakurchi,2014,September,Kharif,69.1,26.9,Banana,Turmeric,100
Kallakurchi,2014,October,Kharif,155,27.2,Tomato,Turmeric,145
Kallakurchi,2014,November,Rabi,374.7,25.4,Tapiaco,Turmeric,165
Kallakurchi,2014,December,Rabi,270.7,22.9,Turmeric,Turmeric,175
Kallakurchi,2015,January,Rabi,52.9,28.7,Paddy,Black gram,90
Kallakurchi,2015,February,Rabi,0,26.4,Maize,Black gram,90
Kallakurchi,2015,March,Rabi,0.2,24.8,Sugarcane,Black gram,80
Kallakurchi,2015,April,Kharif,6,31.6,Blackgram,Sugarcane,35
Kallakurchi,2015,May,Kharif,128.4,32.2,Groundnut,Sugarcane,40
Kallakurchi,2015,June,Kharif,96.2,29.5,Mango,Maize,35
Kallakurchi,2015,July,Kharif,105.9,27.4,Sesame,Maize,35
Kallakurchi,2015,August,Kharif,145.5,25.2,Chili,Maize,40
Kallakurchi,2015,September,Kharif,69.1,23.2,Banana,Maize,30
Kallakurchi,2015,October,Kharif,155,27.6,Tomato,Paddy,80
Kallakurchi,2015,November,Rabi,374.7,25.4,Tapiaco,Paddy,85
Kallakurchi,2015,December,Rabi,270.7,24.2,Turmeric,Paddy,75
Kallakurchi,2016,January,Rabi,52.9,25.9,Paddy,Groundnut,110
Kallakurchi,2016,February,Rabi,0,24.7,Maize,Groundnut,100
Kallakurchi,2016,March,Rabi,1.2,26.9,Sugarcane,Groundnut,120
Kallakurchi,2016,April,Kharif,2.2,29.9,Blackgram,Mango,120
Kallakurchi,2016,May,Kharif,0,31.5,Groundnut,Mango,100
Kallakurchi,2016,June,Kharif,24.1,28.2,Mango,Banana,45
Kallakurchi,2016,July,Kharif,12.3,27.3,Sesame,Banana,65
Kallakurchi,2016,August,Kharif,23,24.9,Chili,Tomato,75
Kallakurchi,2016,September,Kharif,12.5,25.2,Banana,Tomato,75
Kallakurchi,2016,October,Kharif,32,27.5,Tomato,Tomato,80
Kallakurchi,2016,November,Rabi,23,25.8,Tapiaco,Coconut,35
Kallakurchi,2016,December,Rabi,13.4,24.8,Turmeric,Coconut,35
Kallakurchi,2017,January,Rabi,1.97,23.6,Paddy,Coconut,35
Kallakurchi,2017,February,Rabi,10.7,26.8,Maize,Coconut,30
Kallakurchi,2017,March,Rabi,1.2,24.9,Sugarcane,Mango,90
Kallakurchi,2017,April,Kharif,2.2,31.4,Blackgram,Mango,110
Kallakurchi,2017,May,Kharif,0,31.9,Groundnut,Mango,100
Kallakurchi,2017,June,Kharif,24.1,28.6,Mango,Blackgram,90
Kallakurchi,2017,July,Kharif,12.3,26.7,Sesame,Blackgram,95
Kallakurchi,2017,August,Kharif,23,25.9,Chili,Blackgram,80
Kallakurchi,2017,September,Kharif,12.5,24.4,Banana,Blackgram,80
Kallakurchi,2017,October,Kharif,32,27.6,Tomato,Turmeric,120
Kallakurchi,2017,November,Rabi,23,24.9,Tapiaco,Turmeric,190
Kallakurchi,2017,December,Rabi,13.4,27.7,Turmeric,Turmeric,150
Kallakurchi,2018,January,Rabi,3.3,26.4,Paddy,Paddy,80
Kallakurchi,2018,February,Rabi,11.2,28.3,Maize,Paddy,80
Kallakurchi,2018,March,Rabi,2.5,24.8,Sugarcane,Paddy,70
Kallakurchi,2018,April,Kharif,4.4,31.2,Blackgram,Coconut,35
Kallakurchi,2018,May,Kharif,3.3,32.3,Groundnut,Coconut,35
Kallakurchi,2018,June,Kharif,34.4,27.4,Mango,Maize,30
Kallakurchi,2018,July,Kharif,22.3,24.6,Sesame,Maize,30
Kallakurchi,2018,August,Kharif,33.4,26.8,Chili,Maize,35
Kallakurchi,2018,September,Kharif,15.4,28.2,Banana,Groundnut,120
Kallakurchi,2018,October,Kharif,33.4,25.4,Tomato,Groundnut,130
Kallakurchi,2018,November,Rabi,33,23.9,Tapiaco,Groundnut,140
Kallakurchi,2018,December,Rabi,14.5,26.2,Turmeric,Groundnut,145
Kallakurchi,2019,January,Rabi,2.3,24.6,Paddy,Black gram,90
Kallakurchi,2019,February,Rabi,6.5,26.9,Maize,Black gram,90
Kallakurchi,2019,March,Rabi,7.8,27.9,Sugarcane,Black gram,80
Kallakurchi,2019,April,Kharif,44.5,31.2,Blackgram,Sugarcane,35
Kallakurchi,2019,May,Kharif,134.4,32.8,Groundnut,Sugarcane,30
Kallakurchi,2019,June,Kharif,18.7,25.8,Mango,Tomato,80
Kallakurchi,2019,July,Kharif,67.6,26.7,Sesame,Tomato,85
Kallakurchi,2019,August,Kharif,55.5,23.9,Chili,Tomato,90
Kallakurchi,2019,September,Kharif,165.5,25.8,Banana,Turmeric,100
Kallakurchi,2019,October,Kharif,170.7,27.6,Tomato,Turmeric,130
Kallakurchi,2019,November,Rabi,133.4,28.3,Tapiaco,Turmeric,140
Kallakurchi,2019,December,Rabi,8.1,25.6,Turmeric,Turmeric,170
Kallakurchi,2020,January,Rabi,7.2,24.9,Paddy,Maize,35
Kallakurchi,2020,February,Rabi,0,27.6,Maize,Maize,40
Kallakurchi,2020,March,Rabi,0,25.7,Sugarcane,Maize,40
Kallakurchi,2020,April,Kharif,13.5,29.8,Blackgram,Maize,30
Kallakurchi,2020,May,Kharif,4.1,31.4,Groundnut,Mango,110
Kallakurchi,2020,June,Kharif,42.6,28.5,Mango,Turmeric,150
Kallakurchi,2020,July,Kharif,76.4,26.8,Sesame,Turmeric,160
Kallakurchi,2020,August,Kharif,39.8,23.8,Chili,Turmeric,180
Kallakurchi,2020,September,Kharif,104.1,28.6,Banana,Turmeric,195
Kallakurchi,2020,October,Kharif,119.6,25.8,Tomato,Groundnut,125
Kallakurchi,2020,November,Rabi,188.8,24.8,Tapiaco,Groundnut,135
Kallakurchi,2020,December,Rabi,306.9,25.9,Turmeric,Groundnut,145
Kallakurchi,2021,January,Rabi,110.4,28.6,Paddy,Turmeric,145
Kallakurchi,2021,February,Rabi,2.4,27.4,Maize,Turmeric,165
Kallakurchi,2021,March,Rabi,0,25.6,Sugarcane,Sugarcane,35
Kallakurchi,2021,April,Kharif,0.2,32.3,Blackgram,Sugarcane,40
